Classname,Name
arifle_SPAR_02_blk_F,SPAR-16S 5.56 mm (Black)
arifle_SPAR_02_khk_F,SPAR-16S 5.56 mm (Khaki)
arifle_SPAR_02_snd_F,SPAR-16S 5.56 mm (Sand)
arifle_SPAR_03_blk_F,SPAR-17 7.62 mm (Black)
arifle_SPAR_03_khk_F,SPAR-17 7.62 mm (Khaki)
arifle_SPAR_03_snd_F,SPAR-17 7.62 mm (Sand)
arifle_TRG20_F,TRG-20 5.56 mm
arifle_TRG21_F,TRG-21 5.56 mm
arifle_TRG21_GL_F,TRG-21 EGLM 5.56 mm
hgun_ACPC2_F,ACP-C2 .45 ACP
hgun_P07_F,P07 9 mm
hgun_P07_khk_F,P07 9 mm (Khaki)
hgun_PDW2000_F,PDW2000 9 mm
hgun_Pistol_01_F,PM 9 mm
hgun_Pistol_heavy_01_F,4-five .45 ACP
hgun_Pistol_heavy_02_F,Zubr .45 ACP
hgun_Pistol_Signal_F,Starter Pistol
hgun_Rook40_F,Rook-40 9 mm
launch_B_Titan_F,Titan MPRL (Sand)
launch_B_Titan_short_F,Titan MPRL Compact (Sand)
launch_B_Titan_short_tna_F,Titan MPRL Compact (Tropic)
launch_B_Titan_tna_F,Titan MPRL (Tropic)
launch_I_Titan_F,Titan MPRL (Digital)
launch_I_Titan_short_F,Titan MPRL Compact (Olive)
launch_NLAW_F,PCML
launch_O_Titan_F,Titan MPRL (Hex)
launch_O_Titan_ghex_F,Titan MPRL (Green Hex)
launch_O_Titan_short_F,Titan MPRL Compact (Coyote)
launch_O_Titan_short_ghex_F,Titan MPRL Compact (Green Hex)
launch_RPG32_F,RPG-42 Alamut
launch_RPG32_ghex_F,RPG-42 Alamut (Green Hex)
launch_RPG7_F,RPG-7
launch_Titan_F,Titan MPRL
launch_Titan_short_F,Titan MPRL Compact
LMG_03_F,LIM-85 5.56 mm
LMG_Mk200_BI_F,Mk200 6.5 mm
LMG_Mk200_F,Mk200 6.5 mm
LMG_Zafir_F,Zafir 7.62 mm
MMG_01_hex_F,Navid 9.3 mm (Hex)
MMG_01_tan_F,Navid 9.3 mm (Tan)
MMG_02_black_F,SPMG .338 (Black)
MMG_02_camo_F,SPMG .338 (MTP)
MMG_02_sand_F,SPMG .338 (Sand)
SMG_01_F,Vermin SMG .45 ACP
SMG_02_F,Sting 9 mm
SMG_05_F,Protector 9 mm
srifle_DMR_01_F,Rahim 7.62 mm
srifle_DMR_02_camo_F,MAR-10 .338 (Camo)
srifle_DMR_02_F,MAR-10 .338 (Black)
srifle_DMR_02_sniper_F,MAR-10 .338 (Sand)
srifle_DMR_03_F,Mk-I EMR 7.62 mm (Black)
srifle_DMR_03_khaki_F,Mk-I EMR 7.62 mm (Khaki)
srifle_DMR_03_multicam_F,Mk-I EMR 7.62 mm (Camo)
srifle_DMR_03_tan_F,Mk-I EMR 7.62 mm (Sand)
srifle_DMR_03_woodland_F,Mk-I EMR 7.62 mm (Woodland)
srifle_DMR_04_F,ASP-1 Kir 12.7 mm (Black)
srifle_DMR_04_Tan_F,ASP-1 Kir 12.7 mm (Tan)
srifle_DMR_05_blk_F,Cyrus 9.3 mm (Black)
srifle_DMR_05_hex_F,Cyrus 9.3 mm (Hex)
srifle_DMR_05_tan_f,Cyrus 9.3 mm (Tan)
srifle_DMR_06_camo_F,Mk14 7.62 mm (Camo)
srifle_DMR_06_olive_F,Mk14 7.62 mm (Olive)
srifle_DMR_07_blk_F,CMR-76 6.5 mm (Black)
srifle_DMR_07_ghex_F,CMR-76 6.5 mm (Green Hex)
srifle_DMR_07_hex_F,CMR-76 6.5 mm (Hex)
srifle_EBR_F,Mk18 ABR 7.62 mm
srifle_GM6_camo_F,GM6 Lynx 12.7 mm (Camo)
srifle_GM6_F,GM6 Lynx 12.7 mm
srifle_GM6_ghex_F,GM6 Lynx 12.7 mm (Green Hex)
srifle_LRR_camo_F,M320 LRR .408 (Camo)
srifle_LRR_F,M320 LRR .408
srifle_LRR_tna_F,M320 LRR .408 (Tropic)
B_338_Ball,.338 LM 10Rnd Mag
B_338_NM_Ball,.338 NM 130Rnd Belt
B_408_Ball,.408 7Rnd LRR Mag
B_45ACP_Ball,.45 ACP 11Rnd Mag
B_45ACP_Ball,.45 ACP 30Rnd Vermin Mag
B_45ACP_Ball_Green,.45 ACP 30Rnd Vermin Tracers (Green) Mag
B_45ACP_Ball,.45 ACP 30Rnd Vermin Tracers (Red) Mag
B_45ACP_Ball_Yellow,.45 ACP 30Rnd Vermin Tracers (Yellow) Mag
B_45ACP_Ball,.45 ACP 6Rnd Cylinder
B_45ACP_Ball_Green,.45 ACP 9Rnd Mag
B_50BW_Ball_F,.50 BW 10Rnd Caseless Mag
B_127x108_Ball,12.7 mm 5Rnd Mag
B_127x54_Ball,12.7mm 10Rnd Mag
B_127x108_APDS,12.7mm 5Rnd APDS Mag
F_40mm_Green,3Rnd 3GL Flares (Green)
F_40mm_CIR,3Rnd 3GL Flares (IR)
F_40mm_Red,3Rnd 3GL Flares (Red)
F_40mm_White,3Rnd 3GL Flares (White)
F_40mm_Yellow,3Rnd 3GL Flares (Yellow)
G_40mm_SmokeBlue,3Rnd 3GL Smoke Rounds (Blue)
G_40mm_SmokeGreen,3Rnd 3GL Smoke Rounds (Green)
G_40mm_SmokeOrange,3Rnd 3GL Smoke Rounds (Orange)
G_40mm_SmokePurple,3Rnd 3GL Smoke Rounds (Purple)
G_40mm_SmokeRed,3Rnd 3GL Smoke Rounds (Red)
G_40mm_Smoke,3Rnd 3GL Smoke Rounds (White)
G_40mm_SmokeYellow,3Rnd 3GL Smoke Rounds (Yellow)
G_40mm_HE,40 mm 3Rnd HE Grenade
G_40mm_HE,40 mm HE Grenade Round
B_545x39_Ball_Green_F,5.45 mm 30Rnd Reload Tracer (Green) Mag
B_545x39_Ball_F,5.45 mm 30Rnd Reload Tracer (Yellow) Mag
B_545x39_Ball_Green_F,5.45 mm 30Rnd Tracer (Green) Mag
B_545x39_Ball_F,5.45 mm 30Rnd Tracer (Yellow) Mag
B_556x45_Ball_Tracer_Red,5.56 mm 150Rnd Mag
B_556x45_Ball_Tracer_Red,5.56 mm 150Rnd Tracer (Red) Mag
B_556x45_Ball_Tracer_Red,5.56 mm 200Rnd Reload Tracer (Red) Box
B_556x45_Ball_Tracer_Yellow,5.56 mm 200Rnd Reload Tracer (Yellow) Box
B_556x45_Ball_Tracer_Red,5.56 mm 200Rnd Tracer (Red) Box
B_556x45_Ball_Tracer_Yellow,5.56 mm 200Rnd Tracer (Yellow) Box
B_556x45_dual,5.56 mm 20Rnd Dual Purpose Mag
B_556x45_Ball_Tracer_Green,5.56 mm 30rnd STANAG Reload Tracer (Green) Mag
B_556x45_Ball_Tracer_Red,5.56 mm 30rnd STANAG Reload Tracer (Red) Mag
B_556x45_Ball,5.56 mm 30rnd STANAG Reload Tracer (Yellow) Mag
B_556x45_Ball_Tracer_Green,5.56 mm 30rnd Tracer (Green) Mag
B_556x45_Ball_Tracer_Red,5.56 mm 30rnd Tracer (Red) Mag
B_556x45_Ball_Tracer_Yellow,5.56 mm 30rnd Tracer (Yellow) Mag
B_580x42_Ball_F,5.8 mm 100Rnd Mag
B_580x42_Ball_F,5.8 mm 100Rnd Tracer (Green) Mag
B_580x42_Ball_F,5.8 mm 30Rnd Mag
B_580x42_Ball_F,5.8 mm 30Rnd Tracer (Green) Mag
B_65x39_Caseless,6.5 mm 100Rnd Mag
B_65x39_Caseless,6.5 mm 100Rnd Tracer (Red) Mag
B_65x39_Caseless_yellow,6.5 mm 200Rnd Belt
B_65x39_Caseless,6.5 mm 200Rnd Belt Case
B_65x39_Case_green,6.5 mm 200Rnd Belt Case Tracer (Green)
B_65x39_Caseless,6.5 mm 200Rnd Belt Case Tracer (Red)
B_65x39_Case_yellow,6.5 mm 200Rnd Belt Tracer (Yellow)
B_65x39_Caseless_yellow,6.5 mm 200Rnd Belt Tracer (Yellow)
B_65x39_Case_green,6.5 mm 20Rnd Mag
B_65x39_Caseless,6.5 mm 30Rnd STANAG Mag
B_65x39_Caseless_green,6.5 mm 30Rnd Tracer (Green) Caseless Mag
B_65x39_Caseless,6.5 mm 30Rnd Tracer (Red) Mag
B_65x39_Caseless_green,6.5mm 30Rnd Caseless Mag
Sub_F_Signal_Green,6Rnd Signal Cylinder (Green)
Sub_F_Signal_Red,6Rnd Signal Cylinder (Red)
B_762x51_Tracer_Green,7.62 mm 150Rnd Box
B_762x54_Tracer_Green,7.62 mm 150Rnd Box
B_762x51_Tracer_Green,7.62 mm 150Rnd Tracer (Green) Box
B_762x54_Tracer_Green,7.62 mm 150Rnd Tracer (Green) Box
B_762x51_Ball,7.62 mm 20Rnd Mag
B_762x39_Ball_Green_F,7.62 mm 30Rnd Reload Tracer (Green) Mag
B_762x39_Ball_F,7.62 mm 30Rnd Reload Tracer (Yellow) Mag
B_762x39_Ball_Green_F,7.62 mm 30Rnd Tracer (Green) Mag
B_762x39_Ball_F,7.62 mm 30Rnd Tracer (Yellow) Mag
B_762x51_Ball,7.62mm 10Rnd Mag
B_762x54_Ball,7.62mm 10Rnd Mag
B_9x21_Ball,9 mm 10Rnd Mag
B_9x21_Ball,9 mm 16Rnd Mag
B_9x21_Ball_Tracer_Green,9 mm 16Rnd Reload Tracer (Green) Mag
B_9x21_Ball_Tracer_Red,9 mm 16Rnd Reload Tracer (Red) Mag
B_9x21_Ball_Tracer_Yellow,9 mm 16Rnd Reload Tracer (Yellow) Mag
B_9x21_Ball,9 mm 30Rnd Mag
B_9x21_Ball,9 mm 30Rnd Mag
B_9x21_Ball_Tracer_Green,9 mm 30Rnd Reload Tracer (Green) Mag
B_9x21_Ball_Tracer_Green,9 mm 30Rnd Reload Tracer (Green) Mag
B_9x21_Ball_Tracer_Red,9 mm 30Rnd Reload Tracer (Red) Mag
B_9x21_Ball_Tracer_Red,9 mm 30Rnd Reload Tracer (Red) Mag
B_9x21_Ball_Tracer_Yellow,9 mm 30Rnd Reload Tracer (Yellow) Mag
B_9x21_Ball_Tracer_Yellow,9 mm 30Rnd Reload Tracer (Yellow) Mag
B_93x64_Ball,9.3mm 10Rnd Mag
B_93x64_Ball,9.3mm 150Rnd Belt
APERSBoundingMine_Range_Ammo,APERS Bounding Mine
APERSMine_Range_Ammo,APERS Mine
APERSTripMine_Wire_Ammo,APERS Tripwire Mine
ATMine_Range_Ammo,AT Mine
Chemlight_blue,Chemlight (Blue)
Chemlight_green,Chemlight (Green)
Chemlight_red,Chemlight (Red)
Chemlight_yellow,Chemlight (Yellow)
ClaymoreDirectionalMine_Remote_Ammo,Claymore Charge
Laserbeam,Designator Batteries
DemoCharge_Remote_Ammo,Explosive Charge
SatchelCharge_Remote_Ammo,Explosive Satchel
F_40mm_Green,Flare Round (Green)
F_40mm_CIR,Flare Round (IR)
F_40mm_Red,Flare Round (Red)
F_40mm_White,Flare Round (White)
F_40mm_Yellow,Flare Round (Yellow)
I_IRStrobe,IR Grenade [AAF]
O_IRStrobe,IR Grenade [CSAT]
B_IRStrobe,IR Grenade [NATO]
IEDLandBig_Remote_Ammo,Large IED (Dug-in)
IEDUrbanBig_Remote_Ammo,Large IED (Urban)
SLAMDirectionalMine_Wire_Ammo,M6 SLAM Mine
M_NLAW_AT_F,PCML Missile
R_PG7_F,PG-7VM HEAT Grenade
mini_Grenade,RGN Grenade
GrenadeHand,RGO Grenade
R_TBG32V_F,RPG-42 HE Rocket
R_PG32V_F,RPG-42 Rocket
IEDLandSmall_Remote_Ammo,Small IED (Dug-in)
IEDUrbanSmall_Remote_Ammo,Small IED (Urban)
SmokeShellBlue,Smoke Grenade (Blue)
SmokeShellGreen,Smoke Grenade (Green)
SmokeShellOrange,Smoke Grenade (Orange)
SmokeShellPurple,Smoke Grenade (Purple)
SmokeShellRed,Smoke Grenade (Red)
SmokeShell,Smoke Grenade (White)
SmokeShellYellow,Smoke Grenade (Yellow)
G_40mm_SmokeBlue,Smoke Round (Blue)
G_40mm_SmokeGreen,Smoke Round (Green)
G_40mm_SmokeOrange,Smoke Round (Orange)
G_40mm_SmokePurple,Smoke Round (Purple)
G_40mm_SmokeRed,Smoke Round (Red)
G_40mm_Smoke,Smoke Round (White)
G_40mm_SmokeYellow,Smoke Round (Yellow)
M_Titan_AA,Titan AA Missile
M_Titan_AP,Titan AP Missile
M_Titan_AT,Titan AT Missile
U_I_C_Soldier_Bandit_4_F,Bandit Clothes (Checkered)
U_I_C_Soldier_Bandit_1_F,Bandit Clothes (Polo Shirt)
U_I_C_Soldier_Bandit_2_F,Bandit Clothes (Skull)
U_I_C_Soldier_Bandit_5_F,Bandit Clothes (Tank Top)
U_I_C_Soldier_Bandit_3_F,Bandit Clothes (Tee)
U_C_Man_casual_2_F,Casual Clothes (Blue)
U_C_Man_casual_3_F,Casual Clothes (Green)
U_C_Man_casual_1_F,Casual Clothes (Navy)
U_C_PriestBody,Clerical Robes
U_KerryBody,Combat Fatigues (Kerry)
U_MillerBody,Combat Fatigues (Miller)
U_B_CombatUniform_mcam,Combat Fatigues (MTP)
U_B_CombatUniform_wdl,Combat Fatigues (MTP)
U_B_CombatUniform_sgg,Combat Fatigues (MTP)
U_B_CombatUniform_mcam_tshirt,Combat Fatigues (MTP) (Tee)
U_B_CombatUniform_wdl_tshirt,Combat Fatigues (MTP) (Tee)
U_B_CombatUniform_sgg_tshirt,Combat Fatigues (MTP) (Tee)
U_I_G_resistanceLeader_F,Combat Fatigues (Stavrou)
U_B_T_Soldier_AR_F,Combat Fatigues (Tropic, Tee)
U_B_T_Soldier_F,Combat Fatigues (Tropic)
U_I_CombatUniform,Combat Fatigues [AAF]
U_I_CombatUniform_tshirt,Combat Fatigues [AAF] (Officer)
U_I_OfficerUniform,Combat Fatigues [AAF] (Officer)
U_I_CombatUniform_shortsleeve,Combat Fatigues [AAF] (Rolled-up)
U_C_Poloshirt_blue,Commoner Clothes (Blue)
U_C_Poloshirt_burgundy,Commoner Clothes (Burgundy)
U_C_Poloshirt_redwhite,Commoner Clothes (Red-White)
U_C_Poloshirt_salmon,Commoner Clothes (Salmon)
U_C_Poloshirt_stripped,Commoner Clothes (Striped)
U_C_Poloshirt_tricolour,Commoner Clothes (Tricolor)
U_C_Commoner1_1,Commoner Clothes 2
U_C_Commoner1_2,Commoner Clothes 2
U_C_Commoner1_3,Commoner Clothes 3
U_C_Commoner2_1,Commoner Clothes 4
U_C_Commoner2_2,Commoner Clothes 5
U_C_Commoner2_3,Commoner Clothes 6
U_C_Commoner_shorts,Commoner Shorts
U_Competitor,Competitor Suit
U_B_CTRG_1,CTRG Combat Uniform
U_B_CTRG_3,CTRG Combat Uniform (Rolled-up)
U_B_CTRG_2,CTRG Combat Uniform (Tee)
U_B_CTRG_Soldier_F,CTRG Stealth Uniform
U_B_CTRG_Soldier_3_F,CTRG Stealth Uniform (Rolled-up)
U_B_CTRG_Soldier_2_F,CTRG Stealth Uniform (Tee)
U_B_CTRG_Soldier_urb_1_F,CTRG Urban Uniform
U_B_CTRG_Soldier_urb_3_F,CTRG Urban Uniform (Rolled-up)
U_B_CTRG_Soldier_urb_2_F,CTRG Urban Uniform (Tee)
U_C_Driver_1_black,Driver Coverall (Black)
U_C_Driver_1_blue,Driver Coverall (Blue)
U_C_Driver_2,Driver Coverall (Bluking)
U_C_Driver_1,Driver Coverall (Fuel)
U_C_Driver_1_green,Driver Coverall (Green)
U_C_Driver_1_orange,Driver Coverall (Orange)
U_C_Driver_1_red,Driver Coverall (Red)
U_C_Driver_3,Driver Coverall (Redstone)
U_C_Driver_4,Driver Coverall (Vrana)
U_C_Driver_1_white,Driver Coverall (White)
U_C_Driver_1_yellow,Driver Coverall (Yellow)
U_C_Farmer,Farmer Clothes
U_O_T_Soldier_F,Fatigues (Green Hex) [CSAT]
U_O_CombatUniform_ocamo,Fatigues (Hex) [CSAT]
U_O_CombatUniform_oucamo,Fatigues (Urban) [CSAT]
U_C_Fisherman,Fishing Clothes
U_C_FishermanOveralls,Fishing Overalls
U_I_FullGhillie_ard,Full Ghillie (Arid) [AAF]
U_O_FullGhillie_ard,Full Ghillie (Arid) [CSAT]
U_B_FullGhillie_ard,Full Ghillie (Arid) [NATO]
U_O_T_FullGhillie_tna_F,Full Ghillie (Jungle) [CSAT]
U_B_T_FullGhillie_tna_F,Full Ghillie (Jungle) [NATO]
U_I_FullGhillie_lsh,Full Ghillie (Lush) [AAF]
U_O_FullGhillie_lsh,Full Ghillie (Lush) [CSAT]
U_B_FullGhillie_lsh,Full Ghillie (Lush) [NATO]
U_I_FullGhillie_sard,Full Ghillie (Semi-Arid) [AAF]
U_O_FullGhillie_sard,Full Ghillie (Semi-Arid) [CSAT]
U_B_FullGhillie_sard,Full Ghillie (Semi-Arid) [NATO]
U_B_GEN_Commander_F,Gendarmerie Commander Uniform
U_B_GEN_Soldier_F,Gendarmerie Uniform
U_O_T_Sniper_F,Ghillie Suit (Green Hex) [CSAT]
U_B_T_Sniper_F,Ghillie Suit (Tropic) [NATO]
U_I_GhillieSuit,Ghillie Suit [AAF]
U_O_GhillieSuit,Ghillie Suit [CSAT]
U_B_GhillieSuit,Ghillie Suit [NATO]
U_IG_Guerrilla_6_1,Guerilla Apparel
U_BG_Guerrilla_6_1,Guerilla Apparel
U_OG_Guerrilla_6_1,Guerilla Apparel
U_IG_Guerilla1_1,Guerilla Garment
U_BG_Guerilla1_1,Guerilla Garment
U_OG_Guerilla1_1,Guerilla Garment
U_IG_Guerilla2_2,Guerilla Outfit (Pattern)
U_BG_Guerilla2_2,Guerilla Outfit (Pattern)
U_OG_Guerilla2_2,Guerilla Outfit (Pattern)
U_IG_Guerilla2_1,Guerilla Outfit (Plain, Dark)
U_BG_Guerilla2_1,Guerilla Outfit (Plain, Dark)
U_OG_Guerilla2_1,Guerilla Outfit (Plain, Dark)
U_IG_Guerilla2_3,Guerilla Outfit (Plain, Light)
U_BG_Guerilla2_3,Guerilla Outfit (Plain, Light)
U_OG_Guerilla2_3,Guerilla Outfit (Plain, Light)
U_IG_Guerilla3_1,Guerilla Smocks
U_BG_Guerilla3_1,Guerilla Smocks
U_OG_Guerilla3_1,Guerilla Smocks
U_IG_Guerilla3_2,Guerilla Smocks 1
U_BG_Guerilla3_2,Guerilla Smocks 1
U_OG_Guerilla3_2,Guerilla Smocks 1
U_IG_leader,Guerilla Uniform
U_BG_leader,Guerilla Uniform
U_OG_leader,Guerilla Uniform
U_I_HeliPilotCoveralls,Heli Pilot Coveralls [AAF]
U_B_HeliPilotCoveralls,Heli Pilot Coveralls [NATO]
U_C_HunterBody_grn,Hunting Clothes
U_C_HunterBody_brn,Hunting Clothes (Brown)
U_VirtualMan_F,Invisible Uniform
U_OrestesBody,Jacket and Shorts
U_C_Journalist,Journalist Clothes
U_IG_Menelaos,Kabeiroi Leader's Outfit
U_Marshal,Marshal Clothes
U_NikosBody,Nikos Clothes
U_C_Novak,Novak's Leisure Suit
U_O_T_Officer_F,Officer Fatigues (Green Hex) [CSAT]
U_O_OfficerUniform_ocamo,Officer Fatigues (Hex)
U_I_C_Soldier_Para_2_F,Paramilitary Garb (Jacket)
U_I_C_Soldier_Para_3_F,Paramilitary Garb (Shirt)
U_I_C_Soldier_Para_5_F,Paramilitary Garb (Shorts)
U_I_C_Soldier_Para_4_F,Paramilitary Garb (Tank Top)
U_I_C_Soldier_Para_1_F,Paramilitary Garb (Tee)
U_I_pilotCoveralls,Pilot Coveralls [AAF]
U_O_PilotCoveralls,Pilot Coveralls [CSAT]
U_B_PilotCoveralls,Pilot Coveralls [NATO]
U_Rangemaster,Rangemaster Suit
U_O_SpecopsUniform_blk,Recon Fatigues (Black)
U_O_SpecopsUniform_ocamo,Recon Fatigues (Hex)
U_B_CombatUniform_mcam_vest,Recon Fatigues (MTP)
U_B_CombatUniform_wdl_vest,Recon Fatigues (MTP)
U_B_CombatUniform_sgg_vest,Recon Fatigues (MTP)
U_B_T_Soldier_SL_F,Recon Fatigues (Tropic)
U_C_Scavenger_2,Scavenger Clothes (Dark)
U_C_Scavenger_1,Scavenger Clothes (Light)
U_C_Scientist,Scientist Clothes
U_OI_Scientist,Scientist Suit
U_O_V_Soldier_Viper_F,Special Purpose Suit (Green Hex)
U_O_V_Soldier_Viper_hex_F,Special Purpose Suit (Hex)
U_B_SpecopsUniform_sgg,Specop Fatigues (Sage)
U_C_man_sport_1_F,Sport Clothes (Beach)
U_C_man_sport_3_F,Sport Clothes (Blue)
U_C_man_sport_2_F,Sport Clothes (Orange)
U_C_Man_casual_6_F,Summer Clothes (Red)
U_C_Man_casual_4_F,Summer Clothes (Sky)
U_C_Man_casual_5_F,Summer Clothes (Yellow)
U_C_ShirtSurfer_shorts,Surfer Outfit 1
U_C_TeeSurfer_shorts_1,Surfer Outfit 2
U_C_TeeSurfer_shorts_2,Surfer Outfit 3
U_B_survival_uniform,Survival Fatigues
U_I_C_Soldier_Camo_F,Syndikat Uniform
U_BasicBody,Underwear
U_NikosAgedBody,Underwear 1
U_AttisBody,Underwear 4
U_AntigonaBody,Underwear 5
U_B_Soldier_VR,VR Entity Suit
U_O_Soldier_VR,VR Entity Suit
U_I_Soldier_VR,VR Entity Suit
U_C_Soldier_VR,VR Entity Suit
U_I_Protagonist_VR,VR Suit [AAF]
U_O_Protagonist_VR,VR Suit [CSAT]
U_B_Protagonist_VR,VR Suit [NATO]
U_I_Wetsuit,Wetsuit [AAF]
U_O_Wetsuit,Wetsuit [CSAT]
U_B_Wetsuit,Wetsuit [NATO]
U_C_WorkerOveralls,Worker Clothes
U_C_WorkerCoveralls,Worker Coveralls
U_C_Poor_1,Worn Clothes
U_C_Poor_2,Worn Clothes
U_I_G_Story_Protagonist_F,Worn Combat Fatigues (Kerry)
U_B_CombatUniform_mcam_worn,Worn Combat Fatigues (MTP)
U_C_Poor_shorts_1,Worn Shorts 1
U_C_Poor_shorts_2,Worn Shorts 2
B_AssaultPack_blk,Assault Pack (Black)
B_AssaultPack_cbr,Assault Pack (Coyote)
B_AssaultPack_dgtl,Assault Pack (Digi)
B_AssaultPack_rgr,Assault Pack (Green)
B_AssaultPack_ocamo,Assault Pack (Hex)
B_AssaultPack_khk,Assault Pack (Khaki)
B_AssaultPack_mcamo,Assault Pack (MTP)
B_AssaultPack_sgg,Assault Pack (Sage)
B_AssaultPack_tna_F,Assault Pack (Tropic)
B_Bergen_dgtl_F,Bergen Backpack (Digital)
B_Bergen_hex_F,Bergen Backpack (Hex)
B_Bergen_mcamo_F,Bergen Backpack (MTP)
B_Bergen_tna_F,Bergen Backpack (Tropic)
B_Respawn_Sleeping_bag_blue_F,Camp (Blue Sleeping Bag)
B_Respawn_Sleeping_bag_brown_F,Camp (Brown Sleeping Bag)
B_Respawn_TentDome_F,Camp (Dome Tent)
B_Respawn_Sleeping_bag_F,Camp (Green Sleeping Bag)
B_Respawn_TentA_F,Camp (Ridge Tent)
B_Carryall_cbr,Carryall Backpack (Coyote)
B_Carryall_ghex_F,Carryall Backpack (Green Hex)
B_Carryall_ocamo,Carryall Backpack (Hex)
B_Carryall_khk,Carryall Backpack (Khaki)
B_Carryall_mcamo,Carryall Backpack (MTP)
B_Carryall_oli,Carryall Backpack (Olive)
B_Carryall_oucamo,Carryall Backpack (Urban)
I_GMG_01_A_weapon_F,Dismantled Autonomous GMG [AAF]
O_GMG_01_A_weapon_F,Dismantled Autonomous GMG [CSAT]
B_GMG_01_A_weapon_F,Dismantled Autonomous GMG [NATO]
I_HMG_01_A_weapon_F,Dismantled Autonomous MG [AAF]
O_HMG_01_A_weapon_F,Dismantled Autonomous MG [CSAT]
B_HMG_01_A_weapon_F,Dismantled Autonomous MG [NATO]
I_HMG_01_high_weapon_F,Dismantled Mk30 HMG (Raised) [AAF]
O_HMG_01_high_weapon_F,Dismantled Mk30 HMG (Raised) [CSAT]
B_HMG_01_high_weapon_F,Dismantled Mk30 HMG (Raised) [NATO]
I_HMG_01_weapon_F,Dismantled Mk30 HMG [AAF]
O_HMG_01_weapon_F,Dismantled Mk30 HMG [CSAT]
B_HMG_01_weapon_F,Dismantled Mk30 HMG [NATO]
I_GMG_01_high_weapon_F,Dismantled Mk32 GMG (Raised) [AAF]
O_GMG_01_high_weapon_F,Dismantled Mk32 GMG (Raised) [CSAT]
B_GMG_01_high_weapon_F,Dismantled Mk32 GMG (Raised) [NATO]
I_GMG_01_weapon_F,Dismantled Mk32 GMG [AAF]
O_GMG_01_weapon_F,Dismantled Mk32 GMG [CSAT]
B_GMG_01_weapon_F,Dismantled Mk32 GMG [NATO]
B_FieldPack_blk,Field Pack (Black)
B_FieldPack_cbr,Field Pack (Coyote)
B_FieldPack_ghex_F,Field Pack (Green Hex)
B_FieldPack_ocamo,Field Pack (Hex)
B_FieldPack_khk,Field Pack (Khaki)
B_FieldPack_oli,Field Pack (Olive)
B_FieldPack_oucamo,Field Pack (Urban)
